DOI
DOI:10.1016/B978-0-08-102886-5.00028-1
DOI:10.1016/B978-0-12-385136-9.10009-9
DOI:10.1016/B978-0-12-801379-3.00011-5
DOI:10.1016/B978-0-12-803128-5.00004-0
DOI:10.1016/B978-0-12-803128-5.00005-2
DOI:10.1016/B978-0-12-815965-1.00003-X
DOI:10.1016/B978-0-12-816055-8.00007-5
DOI:10.1016/B978-0-12-816835-6.00007-3
DOI:10.1016/B978-0-12-817674-0.00011-4
DOI:10.1016/B978-0-12-817770-9.00007-9
DOI:10.1016/B978-0-12-817774-7.00009-0
DOI:10.1016/B978-0-12-818567-4.00001-6
DOI:10.1016/B978-0-12-820592-1.00004-X
DOI:10.1016/B978-0-12-820777-2.00017-0
DOI:10.1016/B978-0-12-822143-3.00004-4
DOI:10.1016/B978-0-12-823899-8.00005-4
DOI:10.1016/B978-0-12-824555-2.00018-6
DOI:10.1016/j.adapen.2021.100054
DOI:10.1016/j.apenergy.2013.09.072
DOI:10.1016/j.apenergy.2014.08.111
DOI:10.1016/j.apenergy.2014.12.077
DOI:10.1016/j.apenergy.2015.05.101
DOI:10.1016/j.apenergy.2015.10.017
DOI:10.1016/j.apenergy.2015.12.103
DOI:10.1016/j.apenergy.2017.03.023
DOI:10.1016/j.apenergy.2018.03.094
DOI:10.1016/j.apenergy.2018.06.115
DOI:10.1016/j.apenergy.2018.11.002
DOI:10.1016/j.apenergy.2019.01.100
DOI:10.1016/j.apenergy.2019.02.020
DOI:10.1016/j.apenergy.2019.02.072
DOI:10.1016/j.apenergy.2019.113325
DOI:10.1016/j.apenergy.2019.113693
DOI:10.1016/j.apenergy.2019.113972
DOI:10.1016/j.apenergy.2019.113994
DOI:10.1016/j.apenergy.2020.114526
DOI:10.1016/j.apenergy.2020.114600
DOI:10.1016/j.apenergy.2020.114636
DOI:10.1016/j.apenergy.2020.115117
DOI:10.1016/j.apenergy.2020.115739
DOI:10.1016/j.apenergy.2020.116096
