,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:doi,openaccess,pii,authors,prism:endingPage
10,true,2021-07-22T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214629621003042'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214629621003042?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2021.102211,https://api.elsevier.com/content/article/pii/S2214629621003042,"Motivations, barriers and risks of smart home adoption: From systematic literature review to conceptual framework",Wenda Li,Energy Research & Social Science,80,2021-10-31,102211,10.1016/j.erss.2021.102211,False,S2214629621003042,"{'author': [{'$': 'Wenda Li'}, {'$': 'Tan Yigitcanlar'}, {'$': 'Aaron Liu'}]}",
11,true,2021-03-15T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2210670721001426'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2210670721001426?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.scs.2021.102852,https://api.elsevier.com/content/article/pii/S2210670721001426,Energy management in microgrids including smart homes: A multi-objective approach,Seyed Amir Mansouri,Sustainable Cities and Society,69,2021-06-30,102852,10.1016/j.scs.2021.102852,False,S2210670721001426,"{'author': [{'$': 'Seyed Amir Mansouri'}, {'$': 'Amir Ahmarinejad'}, {'$': 'João P. S. Catalão'}]}",
12,true,2021-10-30T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2772671121000061'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2772671121000061?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.prime.2021.100006,https://api.elsevier.com/content/article/pii/S2772671121000061,Conditional Value-at-Risk Model for Smart Home Energy Management Systems,Mohammad Sadegh Javadi,e-Prime,,2021-10-30,100006,10.1016/j.prime.2021.100006,True,S2772671121000061,"{'author': [{'$': 'Mohammad Sadegh Javadi'}, {'$': 'Ali Esmaeel Nezhad'}, {'$': 'João P. S. Catalão'}]}",
13,true,2021-06-07T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0959652621020631'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0959652621020631?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.jclepro.2021.127845,https://api.elsevier.com/content/article/pii/S0959652621020631,Environmental saving potentials of a smart home system from a life cycle perspective: How green is the smart home?,Johanna Pohl,Journal of Cleaner Production,312,2021-08-20,127845,10.1016/j.jclepro.2021.127845,False,S0959652621020631,"{'author': [{'$': 'Johanna Pohl'}, {'$': 'Vivian Frick'}, {'$': 'Matthias Finkbeiner'}]}",
14,true,2021-06-04T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0142061521004695'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0142061521004695?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ijepes.2021.107230,https://api.elsevier.com/content/article/pii/S0142061521004695,Home energy management system for smart buildings with inverter-based air conditioning system,Ali Esmaeel Nezhad,International Journal of Electrical Power & Energy Systems,133,2021-12-31,107230,10.1016/j.ijepes.2021.107230,True,S0142061521004695,"{'author': [{'$': 'Ali Esmaeel Nezhad'}, {'$': 'Abolfazl Rahimnejad'}, {'$': 'S. Andrew Gadsden'}]}",
15,true,2020-12-04T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1364032120308625'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1364032120308625?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.rser.2020.110578,https://api.elsevier.com/content/article/pii/S1364032120308625,Exploring the effects of California's COVID-19 shelter-in-place order on household energy practices and intention to adopt smart home technologies,C. Zanocco,Renewable and Sustainable Energy Reviews,139,2021-04-30,110578,10.1016/j.rser.2020.110578,False,S1364032120308625,"{'author': [{'$': 'C. Zanocco'}, {'$': 'J. Flora'}, {'$': 'H. Boudet'}]}",
16,true,2021-09-03T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0378778821007131'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0378778821007131?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.enbuild.2021.111429,https://api.elsevier.com/content/article/pii/S0378778821007131,SPEMS: A sustainable parasitic energy management system for smart homes,Sadia Ismail,Energy and Buildings,252,2021-12-01,111429,10.1016/j.enbuild.2021.111429,False,S0378778821007131,"{'author': [{'$': 'Sadia Ismail'}, {'$': 'Hasan Mujtaba'}, {'$': 'Mirza Omer Beg'}]}",
17,true,2021-08-19T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214785321054663'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214785321054663?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.matpr.2021.08.038,https://api.elsevier.com/content/article/pii/S2214785321054663,The design and fulfillment of a Smart Home (SH) material powered by the IoT using the Blynk app,Mustafa A. Omran,Materials Today: Proceedings,,2021-08-19,,10.1016/j.matpr.2021.08.038,False,S2214785321054663,"{'author': [{'$': 'Mustafa A. Omran'}, {'$': 'Bashar J. Hamza'}, {'$': 'Wasan K. Saad'}]}",
18,true,2021-04-21T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2213138821002423'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2213138821002423?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.seta.2021.101232,https://api.elsevier.com/content/article/pii/S2213138821002423,Cyber security framework for smart home energy management systems,Mohammed Saeed Alkatheiri,Sustainable Energy Technologies and Assessments,46,2021-08-31,101232,10.1016/j.seta.2021.101232,False,S2213138821002423,"{'author': [{'$': 'Mohammed Saeed Alkatheiri'}, {'$': 'Mohammed A. Alqarni'}, {'$': 'Sajjad Hussain Chauhdary'}]}",
19,true,2020-11-02T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2211285520311216'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2211285520311216?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.nanoen.2020.105547,https://api.elsevier.com/content/article/pii/S2211285520311216,"Harsh environment–tolerant and robust triboelectric nanogenerators for mechanical-energy harvesting, sensing, and energy storage in a smart home",Sontyana Adonijah Graham,Nano Energy,80,2021-02-28,105547,10.1016/j.nanoen.2020.105547,False,S2211285520311216,"{'author': [{'$': 'Sontyana Adonijah Graham'}, {'$': 'Seneke Chamith Chandrarathna'}, {'$': 'Jae Su Yu'}]}",
20,true,2021-01-23T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S221478532040094X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S221478532040094X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.matpr.2020.12.378,https://api.elsevier.com/content/article/pii/S221478532040094X,BLE in IoT: Improved link stability and energy conservation using fuzzy approach for smart homes automation,Kothandaraman D.,Materials Today: Proceedings,,2021-01-23,,10.1016/j.matpr.2020.12.378,False,S221478532040094X,"{'author': [{'$': 'Kothandaraman D.'}, {'$': 'A. Harshavardhan'}, {'$': 'Seena Naik Korra'}]}",
21,true,2020-12-04T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0306261920316421'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0306261920316421?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.apenergy.2020.116251,https://api.elsevier.com/content/article/pii/S0306261920316421,How much HVAC energy could be saved from the occupant-centric smart home thermostat: A nationwide simulation study,Zhihong Pang,Applied Energy,283,2021-02-01,116251,10.1016/j.apenergy.2020.116251,False,S0306261920316421,"{'author': [{'$': 'Zhihong Pang'}, {'$': 'Yan Chen'}, {'$': 'Bing Dong'}]}",
22,true,2021-11-11T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0160791X21002839'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0160791X21002839?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.techsoc.2021.101808,https://api.elsevier.com/content/article/pii/S0160791X21002839,Smart but unfriendly: Connected home products as enablers of conflict,D. D. Furszyfer Del Rio,Technology in Society,68,2022-02-28,101808,10.1016/j.techsoc.2021.101808,False,S0160791X21002839,{'author': 'D. D. Furszyfer Del Rio'},
23,true,2020-12-03T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2210670720308556'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2210670720308556?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.scs.2020.102639,https://api.elsevier.com/content/article/pii/S2210670720308556,A home energy management system with an integrated smart thermostat for demand response in smart grids,A. Can Duman,Sustainable Cities and Society,65,2021-02-28,102639,10.1016/j.scs.2020.102639,False,S2210670720308556,"{'author': [{'$': 'A. Can Duman'}, {'$': 'Hamza Salih Erden'}, {'$': 'Önder Güler'}]}",
24,true,2021-05-14T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0142061521003987'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0142061521003987?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ijepes.2021.107159,https://api.elsevier.com/content/article/pii/S0142061521003987,An optimal scheduling scheme for smart home electricity considering demand response and privacy protection,Shaomin Zhang,International Journal of Electrical Power & Energy Systems,132,2021-11-30,107159,10.1016/j.ijepes.2021.107159,False,S0142061521003987,"{'author': [{'$': 'Shaomin Zhang'}, {'$': 'Jieqi Rong'}, {'$': 'Baoyi Wang'}]}",
0,true,2021-02-25T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2352152X21001614'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2352152X21001614?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.est.2021.102407,https://api.elsevier.com/content/article/pii/S2352152X21001614,A data-mining based optimal demand response program for smart home with energy storages and electric vehicles,Masoud Babaei,Journal of Energy Storage,36,2021-04-30,102407,10.1016/j.est.2021.102407,False,S2352152X21001614,"{'author': [{'$': 'Masoud Babaei'}, {'$': 'Ahmadreza Abazari'}, {'$': 'Mohammad T. H. Beheshti'}]}",
