,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:doi,openaccess,pii,authors,prism:endingPage
21,true,2018-10-27T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1570870518307844'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1570870518307844?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.adhoc.2018.10.027,https://api.elsevier.com/content/article/pii/S1570870518307844,Efficient certificate revocation management schemes for IoT-based advanced metering infrastructures in smart cities,Mumin Cebe,Ad Hoc Networks,92,2019-09-30,101801,10.1016/j.adhoc.2018.10.027,False,S1570870518307844,"{'author': [{'$': 'Mumin Cebe'}, {'$': 'Kemal Akkaya'}]}",
22,true,2018-03-29T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0045790617315288'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0045790617315288?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.compeleceng.2018.03.024,https://api.elsevier.com/content/article/pii/S0045790617315288,An interactive smart grid communication approach for big data traffic,Yao-Chung Chang,Computers & Electrical Engineering,67,2018-04-30,170,10.1016/j.compeleceng.2018.03.024,False,S0045790617315288,"{'author': [{'$': 'Yao-Chung Chang'}, {'$': 'Tien-Chi Huang'}]}",181
23,true,2018-07-25T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0040162517318590'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0040162517318590?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.techfore.2018.07.035,https://api.elsevier.com/content/article/pii/S0040162517318590,Strategic principles for smart city development: A multiple case study analysis of European best practices,Luca Mora,Technological Forecasting and Social Change,142,2019-05-31,70,10.1016/j.techfore.2018.07.035,False,S0040162517318590,"{'author': [{'$': 'Luca Mora'}, {'$': 'Mark Deakin'}, {'$': 'Alasdair Reid'}]}",97
24,true,2018-05-12T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0045790617332068'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0045790617332068?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.compeleceng.2018.05.006,https://api.elsevier.com/content/article/pii/S0045790617332068,An efficient Intrusion Detection System against cyber-physical attacks in the smart grid,Mohamed Attia,Computers & Electrical Engineering,68,2018-05-31,499,10.1016/j.compeleceng.2018.05.006,False,S0045790617332068,"{'author': [{'$': 'Mohamed Attia'}, {'$': 'Sidi Mohammed Senouci'}, {'$': 'Daniela Chrenko'}]}",512
0,true,2021-10-22T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780128220603000188'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780128220603000188?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-822060-3.00018-8,https://api.elsevier.com/content/article/pii/B9780128220603000188,Preface: artificial intelligence and big data analytics for smart healthcare: a digital transformation of healthcare primer,Miltiadis D. Lytras,Artificial Intelligence and Big Data Analytics for Smart Healthcare,,2021-12-31,xvii,10.1016/B978-0-12-822060-3.00018-8,False,B9780128220603000188,"{'author': [{'$': 'Miltiadis D. Lytras'}, {'$': 'Anna Visvizi'}, {'$': 'Kwok Tai Chui'}]}",xxvii
1,true,2019-11-05T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0740624X18302302'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0740624X18302302?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.giq.2019.101412,https://api.elsevier.com/content/article/pii/S0740624X18302302,Does citizen coproduction lead to better urban services in smart cities projects? An empirical study on e-participation in a mobile big data platform,Barbara Allen,Government Information Quarterly,37,2020-01-31,101412,10.1016/j.giq.2019.101412,False,S0740624X18302302,"{'author': [{'$': 'Barbara Allen'}, {'$': 'Louise E. Tamindael'}, {'$': 'Wonhyuk Cho'}]}",
2,true,2020-06-24T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0196890420306464'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0196890420306464?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.enconman.2020.113102,https://api.elsevier.com/content/article/pii/S0196890420306464,Solving the duck curve in a smart grid environment using a non-cooperative game theory and dynamic pricing profiles,Moataz Sheha,Energy Conversion and Management,220,2020-09-15,113102,10.1016/j.enconman.2020.113102,False,S0196890420306464,"{'author': [{'$': 'Moataz Sheha'}, {'$': 'Kasra Mohammadi'}, {'$': 'Kody Powell'}]}",
3,true,2019-01-08T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2210670717311034'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2210670717311034?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.scs.2019.101426,https://api.elsevier.com/content/article/pii/S2210670717311034,Enhancing privacy of electricity consumption in smart cities through morphing of anticipated demand pattern utilizing self-elasticity and genetic algorithms,Miltiadis Alamaniotis,Sustainable Cities and Society,46,2019-04-30,101426,10.1016/j.scs.2019.101426,False,S2210670717311034,"{'author': [{'$': 'Miltiadis Alamaniotis'}, {'$': 'Nikolaos Bourbakis'}, {'$': 'Lefteri H. Tsoukalas'}]}",
4,true,2016-03-20T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0956566316302408'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0956566316302408?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.bios.2016.03.049,https://api.elsevier.com/content/article/pii/S0956566316302408,Novel versatile smart phone based Microplate readers for on-site diagnoses,Qiangqiang Fu,Biosensors and Bioelectronics,81,2016-07-15,524,10.1016/j.bios.2016.03.049,False,S0956566316302408,"{'author': [{'$': 'Qiangqiang Fu'}, {'$': 'Ze Wu'}, {'$': 'Yong Tang'}]}",531
5,true,2020-09-25T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780128168165000401'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780128168165000401?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-816816-5.00040-1,https://api.elsevier.com/content/article/pii/B9780128168165000401,Appendix A: List of top smart cities and critical infrastructure implementation and deployment companies,John R. Vacca,Solving Urban Infrastructure Problems Using Smart City Technologies,,2021-12-31,663,10.1016/B978-0-12-816816-5.00040-1,False,B9780128168165000401,{'author': 'John R. Vacca'},680
