,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:endingPage,prism:doi,openaccess,pii,authors
10,true,2021-01-09T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0301421521000057'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0301421521000057?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.enpol.2021.112136,https://api.elsevier.com/content/article/pii/S0301421521000057,Household energy efficiency interventions: A systematic literature review,Ryan McAndrew,Energy Policy,150,2021-03-31,112136,,10.1016/j.enpol.2021.112136,False,S0301421521000057,"{'author': [{'$': 'Ryan McAndrew'}, {'$': 'Rory Mulcahy'}, {'$': 'Rebekah Russell-Bennett'}]}"
11,true,2016-10-20T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2212827116306692'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2212827116306692?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.procir.2016.06.051,https://api.elsevier.com/content/article/pii/S2212827116306692,<ce:italic>ETA Learning Factory</ce:italic>: A Holistic Concept for Teaching Energy Efficiency in Production,Eberhard Abele,Procedia CIRP,54,2016-12-31,83,88,10.1016/j.procir.2016.06.051,True,S2212827116306692,"{'author': [{'$': 'Eberhard Abele'}, {'$': 'Christoph J. H. Bauerdick'}, {'$': 'Niklas Panten'}]}"
12,true,2014-07-24T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1876610214007942'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1876610214007942?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.egypro.2014.06.058,https://api.elsevier.com/content/article/pii/S1876610214007942,Individual Step-up Converter with Active Recovery Stage for High Efficiency Conversion of Photovoltaic Energy,P. Petit,Energy Procedia,50,2014-12-31,479,487,10.1016/j.egypro.2014.06.058,True,S1876610214007942,"{'author': [{'$': 'P. Petit'}, {'$': 'M. Aillerie'}, {'$': 'J. P. Charles'}]}"
13,true,2019-05-29T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2351978919304858'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2351978919304858?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.promfg.2019.04.008,https://api.elsevier.com/content/article/pii/S2351978919304858,Energy Flexibility – A new Target Dimension in Manufacturing System Design and Operation,Lena Pfeilsticker,Procedia Manufacturing,33,2019-12-31,51,58,10.1016/j.promfg.2019.04.008,True,S2351978919304858,"{'author': [{'$': 'Lena Pfeilsticker'}, {'$': 'Eduardo Colangelo'}, {'$': 'Alexander Sauer'}]}"
14,true,2020-10-02T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1877050920318524'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1877050920318524?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.procs.2020.08.028,https://api.elsevier.com/content/article/pii/S1877050920318524,Enhancing Energy Efficiency of Wireless Sensor Network for Mining Industry Applications,Abdellah Chehri,Procedia Computer Science,176,2020-12-31,261,270,10.1016/j.procs.2020.08.028,True,S1877050920318524,"{'author': [{'$': 'Abdellah Chehri'}, {'$': 'Rachid Saadane'}, {'$': 'Hasna Chaibi'}]}"
15,true,2021-06-15T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2210650221000882'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2210650221000882?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.swevo.2021.100927,https://api.elsevier.com/content/article/pii/S2210650221000882,Memetic search for vehicle routing with simultaneous pickup-delivery and time windows,Shengcai Liu,Swarm and Evolutionary Computation,66,2021-10-31,100927,,10.1016/j.swevo.2021.100927,False,S2210650221000882,"{'author': [{'$': 'Shengcai Liu'}, {'$': 'Ke Tang'}, {'$': 'Xin Yao'}]}"
16,true,2018-09-08T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1876610218301863'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1876610218301863?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.egypro.2018.07.030,https://api.elsevier.com/content/article/pii/S1876610218301863,Energy simulation and optimization of a double ventilation chimney in a historical building in L’Aquila (Italy),Eleonora Laurini,Energy Procedia,147,2018-08-31,34,41,10.1016/j.egypro.2018.07.030,True,S1876610218301863,"{'author': [{'$': 'Eleonora Laurini'}, {'$': 'Mariangela De Vita'}, {'$': 'Pierluigi De Berardinis'}]}"
17,true,2019-06-24T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214629618313355'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214629618313355?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2019.05.026,https://api.elsevier.com/content/article/pii/S2214629618313355,Mind the gap: A social sciences review of energy efficiency,Tessa Dunlop,Energy Research & Social Science,56,2019-10-31,101216,,10.1016/j.erss.2019.05.026,True,S2214629618313355,{'author': 'Tessa Dunlop'}
18,true,2019-03-15T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1876610219304138'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1876610219304138?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.egypro.2019.01.393,https://api.elsevier.com/content/article/pii/S1876610219304138,Optimal Matching Control Schedule Research On an Energy System,Junchao Zheng,Energy Procedia,158,2019-02-28,1685,1693,10.1016/j.egypro.2019.01.393,True,S1876610219304138,"{'author': [{'$': 'Junchao Zheng'}, {'$': 'Hailong Tang'}, {'$': 'Min Chen'}]}"
19,true,2019-09-19T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2405896319307189'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2405896319307189?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ifacol.2019.09.094,https://api.elsevier.com/content/article/pii/S2405896319307189,A comparison of PMP-based Energy Management Strategies for Plug-in-Hybrid Electric Vehicles,Roland Schmid,IFAC-PapersOnLine,52,2019-12-31,592,597,10.1016/j.ifacol.2019.09.094,False,S2405896319307189,"{'author': [{'$': 'Roland Schmid'}, {'$': 'Johannes Bürger'}, {'$': 'Naim Bajcinca'}]}"
