,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:coverDate,prism:doi,openaccess,pii,authors,prism:volume,prism:startingPage,prism:endingPage
14,true,2020-03-20T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780128040775000166'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780128040775000166?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-804077-5.00016-6,https://api.elsevier.com/content/article/pii/B9780128040775000166,Chapter 11: Lignocellulosics as a Green Material Opportunity for Energy Storage Systems,Jung-Hwan Kim,Lignocellulosics,2020-12-31,10.1016/B978-0-12-804077-5.00016-6,False,B9780128040775000166,"{'author': [{'$': 'Jung-Hwan Kim'}, {'$': 'Donggue Lee'}, {'$': 'Sang-Young Lee'}]}",,297,343
15,true,2019-01-19T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0045782519300180'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0045782519300180?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.cma.2019.01.013,https://api.elsevier.com/content/article/pii/S0045782519300180,An explicit pseudo-energy conserving time-integration scheme for Hamiltonian dynamics,Frédéric Marazzato,Computer Methods in Applied Mechanics and Engineering,2019-04-15,10.1016/j.cma.2019.01.013,False,S0045782519300180,"{'author': [{'$': 'Frédéric Marazzato'}, {'$': 'Alexandre Ern'}, {'$': 'Laurent Monasse'}]}",347,906,927
16,true,2020-03-09T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0010465520300813'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0010465520300813?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.cpc.2020.107260,https://api.elsevier.com/content/article/pii/S0010465520300813,AtomREM: Non-empirical seeker of the minimum energy escape paths on many-dimensional potential landscapes without coarse graining,Yuri S. Nagornov,Computer Physics Communications,2020-09-30,10.1016/j.cpc.2020.107260,False,S0010465520300813,"{'author': [{'$': 'Yuri S. Nagornov'}, {'$': 'Ryosuke Akashi'}]}",254,107260,
17,true,2018-06-22T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0033838918300368'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0033838918300368?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.rcl.2018.03.010,https://api.elsevier.com/content/article/pii/S0033838918300368,Dual-Energy Computed Tomography in Cardiothoracic Vascular Imaging,Domenico De Santis,Radiologic Clinics of North America,2018-07-31,10.1016/j.rcl.2018.03.010,False,S0033838918300368,"{'author': [{'$': 'Domenico De Santis'}, {'$': 'Marwen Eid'}, {'$': 'Uwe Joseph Schoepf'}]}",56,521,534
18,true,2020-11-13T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780128204917000104'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780128204917000104?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-820491-7.00010-4,https://api.elsevier.com/content/article/pii/B9780128204917000104,Chapter 10: Testing of influence of SVC and energy storage device’s location on power system using GAMS,Martin Ćalasan,Uncertainties in Modern Power Systems,2021-12-31,10.1016/B978-0-12-820491-7.00010-4,False,B9780128204917000104,"{'author': [{'$': 'Martin Ćalasan'}, {'$': 'Katarina Kecojević'}, {'$': 'Ziad M. Ali'}]}",,297,342
19,true,2018-07-17T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0142061518300383'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0142061518300383?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ijepes.2018.07.013,https://api.elsevier.com/content/article/pii/S0142061518300383,FACTS devices and energy storage in unit commitment,Zora Luburić,International Journal of Electrical Power & Energy Systems,2019-01-31,10.1016/j.ijepes.2018.07.013,False,S0142061518300383,"{'author': [{'$': 'Zora Luburić'}, {'$': 'Hrvoje Pandžić'}]}",104,311,325
20,true,2020-01-20T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B9780128035818112184'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B9780128035818112184?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-803581-8.11218-4,https://api.elsevier.com/content/article/pii/B9780128035818112184,Development of Vapor Absorption Cooling System Driven by Renewable Energy,Binoy K. Choudhury,Encyclopedia of Renewable and Sustainable Materials,2020-12-31,10.1016/B978-0-12-803581-8.11218-4,False,B9780128035818112184,"{'author': [{'$': 'Binoy K. Choudhury'}, {'$': 'Avishek Ray'}, {'$': 'Devashish (Dave) Lahiri'}]}",3,411,436
21,true,2020-10-30T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B978012819885800019X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B978012819885800019X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-819885-8.00019-X,https://api.elsevier.com/content/article/pii/B978012819885800019X,19: Thermal energy storage for space heating and domestic hot water in individual residential buildings,Frédéric Kuznik,Advances in Thermal Energy Storage Systems,2021-12-31,10.1016/B978-0-12-819885-8.00019-X,False,B978012819885800019X,"{'author': [{'$': 'Frédéric Kuznik'}, {'$': 'Oliver Opel'}, {'$': 'Wolfgang K. L. Ruck'}]}",,567,594
22,true,2020-10-03T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0147651320312501'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0147651320312501?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ecoenv.2020.111413,https://api.elsevier.com/content/article/pii/S0147651320312501,"The effect of ammonia exposure on energy metabolism and mitochondrial dynamic proteins in chicken thymus: Through oxidative stress, apoptosis, and autophagy",Syed Waqas Ali Shah,Ecotoxicology and Environmental Safety,2020-12-15,10.1016/j.ecoenv.2020.111413,True,S0147651320312501,"{'author': [{'$': 'Syed Waqas Ali Shah'}, {'$': 'Dechun Chen'}, {'$': 'Xiaohua Teng'}]}",206,111413,
23,true,2018-09-05T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0001691817301336'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0001691817301336?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.actpsy.2018.08.020,https://api.elsevier.com/content/article/pii/S0001691817301336,Brief aerobic exercise immediately enhances visual attentional control and perceptual speed. Testing the mediating role of feelings of energy,Fabien D. Legrand,Acta Psychologica,2018-11-30,10.1016/j.actpsy.2018.08.020,False,S0001691817301336,"{'author': [{'$': 'Fabien D. Legrand'}, {'$': 'Cedric Albinet'}, {'$': 'Chrystel Besche-Richard'}]}",191,25,31
